Distance,Correlation,Abs_Correlation
Distance (37 to 47),-0.6112334485459158,0.6112334485459158
Distance (23 to 48),-0.6111031490054816,0.6111031490054816
Distance (38 to 45),-0.6109760307192255,0.6109760307192255
Distance (23 to 30),-0.61080922254756,0.61080922254756
Distance (24 to 28),-0.6107352275816138,0.6107352275816138
Distance (20 to 33),-0.6106058738612828,0.6106058738612828
Distance (24 to 41),-0.6104241989285211,0.6104241989285211
Distance (41 to 47),-0.6101128745062001,0.6101128745062001
Distance (26 to 42),-0.6100879958011441,0.6100879958011441
Distance (24 to 35),-0.6100623880877588,0.6100623880877588
Distance (21 to 43),-0.6093488411584989,0.6093488411584989
Distance (41 to 45),-0.6093126265150058,0.6093126265150058
Distance (21 to 33),-0.609264199313125,0.609264199313125
Distance (42 to 46),-0.6092418364995874,0.6092418364995874
Distance (20 to 30),-0.609030417336337,0.609030417336337
Distance (21 to 45),-0.6087967523312435,0.6087967523312435
Distance (23 to 35),-0.6087658086617287,0.6087658086617287
Distance (37 to 45),-0.6087319736464333,0.6087319736464333
Distance (33 to 38),-0.6084300120248834,0.6084300120248834
Distance (26 to 36),-0.6081456608308344,0.6081456608308344
Distance (38 to 46),-0.6081402553574701,0.6081402553574701
Distance (32 to 37),-0.6080631592396252,0.6080631592396252
Distance (22 to 44),-0.6079930032707208,0.6079930032707208
Distance (25 to 41),-0.6078570405640559,0.6078570405640559
Distance (26 to 47),-0.607705093977365,0.607705093977365
Distance (28 to 47),-0.6075951089646056,0.6075951089646056
Distance (21 to 46),-0.6072645861804006,0.6072645861804006
Distance (39 to 45),-0.6070278356596679,0.6070278356596679
Distance (38 to 48),-0.606928335460111,0.606928335460111
Distance (24 to 29),-0.6068847541185478,0.6068847541185478
Distance (21 to 23),-0.6068090384466406,0.6068090384466406
Distance (24 to 64),-0.6067321423208817,0.6067321423208817
Distance (23 to 37),-0.6066678440235123,0.6066678440235123
Distance (24 to 63),-0.6064442835731709,0.6064442835731709
Distance (45 to 63),-0.6064414070884823,0.6064414070884823
Distance (23 to 40),-0.6064273866319108,0.6064273866319108
Distance (19 to 47),-0.606415780152713,0.606415780152713
Distance (42 to 44),-0.6063596387344937,0.6063596387344937
Distance (45 to 64),-0.6062673556239634,0.6062673556239634
Distance (23 to 63),-0.6062148115364872,0.6062148115364872
Distance (24 to 37),-0.606208558588265,0.606208558588265
Distance (26 to 41),-0.6060227664167225,0.6060227664167225
Distance (24 to 40),-0.6059952103013322,0.6059952103013322
Distance (20 to 62),-0.6059332260438658,0.6059332260438658
Distance (45 to 46),-0.6058987124529075,0.6058987124529075
Distance (23 to 64),-0.6058754987021719,0.6058754987021719
Distance (20 to 48),-0.6058307876149538,0.6058307876149538
Distance (40 to 47),-0.6057877998649416,0.6057877998649416
Distance (25 to 35),-0.6057860871526614,0.6057860871526614
Distance (42 to 48),-0.605770694991042,0.605770694991042
Distance (23 to 38),-0.60570576761198,0.60570576761198
Distance (25 to 37),-0.6055929778961897,0.6055929778961897
Distance (37 to 46),-0.6055340311178598,0.6055340311178598
Distance (26 to 37),-0.6053598106879776,0.6053598106879776
Distance (24 to 30),-0.6051473425611347,0.6051473425611347
Distance (21 to 63),-0.6051460528412705,0.6051460528412705
Distance (23 to 32),-0.605111262320542,0.605111262320542
Distance (26 to 38),-0.6051080385260856,0.6051080385260856
Distance (21 to 62),-0.6050804899287883,0.6050804899287883
Distance (29 to 38),-0.6050544819484455,0.6050544819484455
Distance (22 to 27),-0.6049925798256269,0.6049925798256269
Distance (21 to 64),-0.6049673038310057,0.6049673038310057
Distance (24 to 38),-0.6049074412089203,0.6049074412089203
Distance (20 to 63),-0.6049062591419064,0.6049062591419064
Distance (22 to 30),-0.6048482803247847,0.6048482803247847
Distance (55 to 65),-0.6047836468750448,0.6047836468750448
Distance (23 to 33),-0.6046385953158565,0.6046385953158565
Distance (40 to 45),-0.60462762271839,0.60462762271839
Distance (25 to 38),-0.6046089314215984,0.6046089314215984
Distance (35 to 44),-0.6044818542941534,0.6044818542941534
Distance (38 to 43),-0.6044663098987945,0.6044663098987945
Distance (20 to 45),-0.6044562660119678,0.6044562660119678
Distance (23 to 62),-0.6044363861603983,0.6044363861603983
Distance (21 to 36),-0.6043582740864942,0.6043582740864942
Distance (20 to 64),-0.6042097835037269,0.6042097835037269
Distance (18 to 40),-0.604206264144764,0.604206264144764
Distance (39 to 46),-0.6040866856150242,0.6040866856150242
Distance (21 to 35),-0.6040703927665001,0.6040703927665001
Distance (41 to 46),-0.6040384079084339,0.6040384079084339
Distance (35 to 46),-0.6040120126568653,0.6040120126568653
Distance (24 to 62),-0.6039073110721187,0.6039073110721187
Distance (22 to 36),-0.6038703122089444,0.6038703122089444
Distance (27 to 42),-0.6037480791151788,0.6037480791151788
Distance (45 to 62),-0.6036940162123943,0.6036940162123943
Distance (20 to 46),-0.6036209140818618,0.6036209140818618
Distance (19 to 33),-0.6035904176524056,0.6035904176524056
Distance (21 to 26),-0.6035620144190116,0.6035620144190116
Distance (21 to 24),-0.6034267452856116,0.6034267452856116
Distance (20 to 43),-0.6034216848097547,0.6034216848097547
Distance (25 to 40),-0.6034115428036555,0.6034115428036555
Distance (34 to 45),-0.6033782955103083,0.6033782955103083
Distance (42 to 43),-0.6033372675349311,0.6033372675349311
Distance (18 to 47),-0.6031453853702606,0.6031453853702606
Distance (25 to 64),-0.6031178174250093,0.6031178174250093
Distance (29 to 45),-0.6030848216825719,0.6030848216825719
Distance (38 to 64),-0.6030389457614719,0.6030389457614719
Distance (27 to 43),-0.603025528107286,0.603025528107286
Distance (23 to 34),-0.6030141318816497,0.6030141318816497
Distance (28 to 45),-0.6029762853512165,0.6029762853512165
Distance (21 to 25),-0.6029473199738343,0.6029473199738343
Distance (24 to 34),-0.6028922820783831,0.6028922820783831
Distance (25 to 63),-0.6028822649988176,0.6028822649988176
Distance (38 to 62),-0.6028310826954406,0.6028310826954406
Distance (38 to 44),-0.6028017076922407,0.6028017076922407
Distance (38 to 63),-0.6025045926990542,0.6025045926990542
Distance (24 to 33),-0.6024500418030443,0.6024500418030443
Distance (37 to 48),-0.6023667798695327,0.6023667798695327
Distance (21 to 34),-0.6023304296428761,0.6023304296428761
Distance (18 to 41),-0.602227498336108,0.602227498336108
Distance (20 to 34),-0.6021329325492975,0.6021329325492975
Distance (30 to 45),-0.6020244333544738,0.6020244333544738
Distance (27 to 36),-0.6019574833033228,0.6019574833033228
Distance (20 to 35),-0.6019328592254012,0.6019328592254012
Distance (27 to 48),-0.6018819832631219,0.6018819832631219
Distance (26 to 40),-0.6017493625957143,0.6017493625957143
Distance (39 to 48),-0.6017280782154293,0.6017280782154293
Distance (26 to 35),-0.6016391516930911,0.6016391516930911
Distance (25 to 28),-0.6015827868741955,0.6015827868741955
Distance (24 to 32),-0.6015688854681712,0.6015688854681712
Distance (33 to 39),-0.6013664208177425,0.6013664208177425
Distance (33 to 45),-0.6012854788133196,0.6012854788133196
Distance (26 to 39),-0.60118406664339,0.60118406664339
Distance (37 to 44),-0.6011559008166025,0.6011559008166025
Distance (22 to 32),-0.6011264822665713,0.6011264822665713
Distance (44 to 64),-0.6010293516781319,0.6010293516781319
Distance (28 to 38),-0.6010030824523799,0.6010030824523799
Distance (20 to 36),-0.600980501070105,0.600980501070105
Distance (44 to 63),-0.6009108328166798,0.6009108328166798
Distance (28 to 42),-0.6009047458997683,0.6009047458997683
Distance (21 to 31),-0.600872965933634,0.600872965933634
Distance (27 to 38),-0.6008265433197203,0.6008265433197203
Distance (20 to 31),-0.600810511583492,0.600810511583492
Distance (22 to 64),-0.6007221367297935,0.6007221367297935
Distance (18 to 33),-0.6007143052769683,0.6007143052769683
